0.0539999999999999,"4.3.3",1000
0.0169999999999999,"4.3.3",1000
0.016,"4.3.3",1000
0.045,"4.3.3",1000
0.04,"4.3.3",1000
0.192,"4.3.3",3000
0.229,"4.3.3",3000
0.211,"4.3.3",3000
0.267,"4.3.3",3000
0.188,"4.3.3",3000
0.796,"4.3.3",5000
0.548999999999999,"4.3.3",5000
0.562999999999999,"4.3.3",5000
0.604000000000001,"4.3.3",5000
0.578999999999999,"4.3.3",5000
1.316,"4.3.3",7000
1.261,"4.3.3",7000
1.313,"4.3.3",7000
1.302,"4.3.3",7000
1.255,"4.3.3",7000
2.591,"4.3.3",9000
2.584,"4.3.3",9000
2.781,"4.3.3",9000
2.677,"4.3.3",9000
2.35299999999999,"4.3.3",9000
0.553,"4.3.1",1000
0.547,"4.3.1",1000
0.548,"4.3.1",1000
0.552,"4.3.1",1000
0.57,"4.3.1",1000
20.589,"4.3.1",3000
20.635,"4.3.1",3000
20.587,"4.3.1",3000
20.679,"4.3.1",3000
20.598,"4.3.1",3000
95.811,"4.3.1",5000
92.484,"4.3.1",5000
93.169,"4.3.1",5000
91.724,"4.3.1",5000
94.811,"4.3.1",5000
266.175,"4.3.1",7000
294.638,"4.3.1",7000
277.547,"4.3.1",7000
258.97,"4.3.1",7000
266.447,"4.3.1",7000
543.239,"4.3.1",9000
536.436,"4.3.1",9000
581.849,"4.3.1",9000
563.499,"4.3.1",9000
547.37,"4.3.1",9000
2.142,"4.3.3",8000
20.761,"4.4.0",20000
64.411,"4.4.0",30000
5,"4.3.1",2000
5.029,"4.3.1",2000
