LR_PARALLEL,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.083,1
LR_PARALLEL,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.084,1
LR_PARALLEL,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.082,1
LR_FURRR,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.893,1
LR_FURRR,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.947,1
LR_FURRR,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.897,1
LR_FUTURE,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.496,1
LR_FUTURE,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.441,1
LR_FUTURE,123,200000,200000,100,100,50,50,50,50,FALSE,TRUE,0.601,1
LR_RCOMPSs,123,200000,200000,100,100,50,50,50,ncores,FALSE,TRUE,5.514,1
LR_RCOMPSs,123,200000,200000,100,100,50,50,50,ncores,FALSE,TRUE,0.605,2
LR_RCOMPSs,123,200000,200000,100,100,50,50,50,ncores,FALSE,TRUE,0.613,3
LR_PARALLEL,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,0.964,1
LR_PARALLEL,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,1.05,1
LR_PARALLEL,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,1.018,1
LR_FURRR,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,2.716,1
LR_FURRR,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,2.802,1
LR_FURRR,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,3.377,1
LR_FUTURE,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,1.692,1
LR_FUTURE,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,1.606,1
LR_FUTURE,123,2400000,2400000,100,100,50,50,50,50,FALSE,TRUE,1.646,1
LR_RCOMPSs,123,2400000,2400000,100,100,50,50,50,ncores,FALSE,TRUE,9.816,1
LR_RCOMPSs,123,2400000,2400000,100,100,50,50,50,ncores,FALSE,TRUE,3.815,2
LR_RCOMPSs,123,2400000,2400000,100,100,50,50,50,ncores,FALSE,TRUE,3.348,3
LR_PARALLEL,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,1.531,1
LR_PARALLEL,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,1.534,1
LR_PARALLEL,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,1.529,1
LR_FURRR,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,4.124,1
LR_FURRR,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,5.533,1
LR_FURRR,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,4.342,1
LR_FUTURE,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,2.685,1
LR_FUTURE,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,2.55,1
LR_FUTURE,123,4600000,4600000,100,100,50,50,50,50,FALSE,TRUE,2.636,1
LR_RCOMPSs,123,4600000,4600000,100,100,50,50,50,ncores,FALSE,TRUE,12.728,1
LR_RCOMPSs,123,4600000,4600000,100,100,50,50,50,ncores,FALSE,TRUE,6.161,2
LR_RCOMPSs,123,4600000,4600000,100,100,50,50,50,ncores,FALSE,TRUE,6.614,3
LR_PARALLEL,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,2.199,1
LR_PARALLEL,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,2.19,1
LR_PARALLEL,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,2.204,1
LR_FURRR,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,5.592,1
LR_FURRR,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,5.56,1
LR_FURRR,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,5.327,1
LR_FUTURE,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,4.352,1
LR_FUTURE,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,3.652,1
LR_FUTURE,123,6800000,6800000,100,100,50,50,50,50,FALSE,TRUE,3.281,1
LR_RCOMPSs,123,6800000,6800000,100,100,50,50,50,ncores,FALSE,TRUE,15.447,1
LR_RCOMPSs,123,6800000,6800000,100,100,50,50,50,ncores,FALSE,TRUE,9.924,2
LR_RCOMPSs,123,6800000,6800000,100,100,50,50,50,ncores,FALSE,TRUE,26.563,3
LR_PARALLEL,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,2.881,1
LR_PARALLEL,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,2.865,1
LR_PARALLEL,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,2.904,1
LR_FURRR,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,9.646,1
LR_FURRR,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,9.51,1
LR_FURRR,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,8.161,1
LR_FUTURE,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,5.232,1
LR_FUTURE,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,5.464,1
LR_FUTURE,123,9000000,9000000,100,100,50,50,50,50,FALSE,TRUE,4.881,1
LR_RCOMPSs,123,9000000,9000000,100,100,50,50,50,ncores,FALSE,TRUE,18.262,1
