100,0.001
200,0.005
300,0.014
400,0.032
500,0.062
600,0.107
700,0.175
800,0.271
900,0.384
1000,0.56
1100,0.753
1200,0.964
1300,1.233
1400,1.542
1500,1.928
1600,2.346
1700,2.823
1800,3.346
1900,3.942
2000,4.557
