KMEANS_RESULTS,1,20000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,20.014,95.391,115.405
KMEANS_RESULTS,1,20000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,19.741,93.698,113.439
KMEANS_RESULTS,1,20000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,20.41,93.846,114.256
KMEANS_RESULTS,1,20000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,20.51,86.606,107.116
KMEANS_RESULTS,1,20000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,19.998,82.097,102.095
KMEANS_RESULTS,1,20000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,19.534,82.012,101.546
KMEANS_RESULTS,1,30000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,32.209,153.917,186.126
KMEANS_RESULTS,1,30000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,31.602,153.312,184.914
KMEANS_RESULTS,1,30000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,32.221,146.98,179.201
KMEANS_RESULTS,1,30000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,31.746,146.417,178.163
KMEANS_RESULTS,1,30000000,10,10,30,normal,200,1e-09,2,R_sequential,4.4.1,32.036,134.971,167.007
KMEANS_RESULTS,1,30000000,10,10,30,normal,200,1e-09,2,R_sequential,4.4.1,31.665,136.019,167.684
KMEANS_RESULTS,1,30000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,32.645,146.014,178.659
KMEANS_RESULTS,1,30000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,32.509,135.326,167.835
KMEANS_RESULTS,1,40000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,43.242,206.292,249.534
KMEANS_RESULTS,1,40000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,42.536,211.873,254.409
KMEANS_RESULTS,1,40000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,43.545,197.923,241.468
KMEANS_RESULTS,1,40000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,43.111,207.081,250.192
KMEANS_RESULTS,1,40000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,43.701,181.527,225.228
KMEANS_RESULTS,1,40000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,43.597,180.673,224.27
KMEANS_RESULTS,1,50000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,54.866,264.589,319.455
KMEANS_RESULTS,1,50000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,54.972,261.986,316.958
KMEANS_RESULTS,1,50000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,54.834,250.503,305.337
KMEANS_RESULTS,1,50000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,54.378,252.291,306.669
KMEANS_RESULTS,1,50000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,53.066,234.701,287.767
KMEANS_RESULTS,1,50000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,52.619,231.622,284.241
KMEANS_RESULTS,1,60000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,63.885,307.239,371.124
KMEANS_RESULTS,1,60000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,64.014,307.282,371.296
KMEANS_RESULTS,1,60000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,69.071,301.799,370.87
KMEANS_RESULTS,1,60000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,64.04,298.017,362.057
KMEANS_RESULTS,1,60000000,10,10,30,normal,200,1e-09,2,R_sequential,4.4.1,63.914,300.652,364.566
KMEANS_RESULTS,1,60000000,10,10,30,normal,200,1e-09,2,R_sequential,4.4.1,63.6,302.869,366.469
KMEANS_RESULTS,1,60000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,69.721,302.45,372.171
KMEANS_RESULTS,1,60000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,64.588,283.036,347.624
KMEANS_RESULTS,1,70000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,75.631,363.478,439.109
KMEANS_RESULTS,1,70000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,74.779,365.36,440.139
KMEANS_RESULTS,1,70000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,75.994,351.235,427.229
KMEANS_RESULTS,1,70000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,75.16,353.068,428.228
KMEANS_RESULTS,1,70000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,78.816,340.098,418.914
KMEANS_RESULTS,1,70000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,76.048,338.825,414.873
KMEANS_RESULTS,1,80000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,93.023,417.621,510.644
KMEANS_RESULTS,1,80000000,10,10,10,normal,200,1e-09,2,R_sequential,4.4.1,87.297,417.996,505.293
KMEANS_RESULTS,1,80000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,89.393,414.031,503.424
KMEANS_RESULTS,1,80000000,10,10,20,normal,200,1e-09,2,R_sequential,4.4.1,86.591,405.822,492.413
KMEANS_RESULTS,1,80000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,94.889,405.866,500.755
KMEANS_RESULTS,1,80000000,10,10,40,normal,200,1e-09,2,R_sequential,4.4.1,87.756,385.56,473.316
