KMEANS_FURRR,1,4600000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,7.545,7.899,15.444,1
KMEANS_FURRR,1,4600000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,7.623,8.387,16.01,2
KMEANS_FURRR,1,4600000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,7.288,9.348,16.636,3
KMEANS_FURRR,1,4600000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,7.224,8.36,15.584,4
KMEANS_FURRR,1,4600000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,7.447,9.872,17.319,5
KMEANS_FURRR,1,4600000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,7.304,9.497,16.801,6
KMEANS_RESULTS,1,4600000,100,10,50,normal,2,1.00E-09,50,RCOMPSs,4.4.0,0.06,11.829,11.889,1
KMEANS_RESULTS,1,4600000,100,10,50,normal,2,1.00E-09,50,RCOMPSs,4.4.0,0.044,4.796,4.84,2
KMEANS_RESULTS,1,4600000,100,10,50,normal,2,1.00E-09,50,RCOMPSs,4.4.0,0.056,4.96,5.016,3
KMEANS_RESULTS,1,4600000,100,10,50,normal,2,1.00E-09,50,RCOMPSs,4.4.0,0.037,4.813,4.85,4
KMEANS_RESULTS,1,4600000,100,10,50,normal,2,1.00E-09,50,RCOMPSs,4.4.0,0.024,4.835,4.86,5
KMEANS_RESULTS,1,4600000,100,10,50,normal,2,1.00E-09,50,RCOMPSs,4.4.0,0.037,4.787,4.824,6
KMEANS_FUTUREAPPLY,1,6800000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,10.162,10.826,20.988,1
KMEANS_FUTUREAPPLY,1,6800000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,11.292,9.739,21.031,2
KMEANS_FUTUREAPPLY,1,6800000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,10.578,10.441,21.019,3
KMEANS_FUTUREAPPLY,1,6800000,100,10,50,normal,2,1.00E-09,50,future_multicore,4.4.0,10.203,10.085,20.288,4
