KNN_RES_PARALLEL,123,50000,100000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.429,6.639,7.068,1
KNN_RES_RCOMPSs,123,50000,100000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.419,11.973,12.392,1
KNN_RES_RCOMPSs,123,50000,100000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.042,13.502,13.544,2
KNN_RES_PARALLEL,123,100000,200000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.866,20.843,21.709,1
KNN_RES_RCOMPSs,123,100000,200000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.091,27.037,27.128,1
KNN_RES_RCOMPSs,123,100000,200000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.043,23.196,23.239,2
KNN_RES_PARALLEL,123,150000,300000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.792,51.552,52.344,1
KNN_RES_RCOMPSs,123,150000,300000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.093,58.68,58.773,1
KNN_RES_RCOMPSs,123,150000,300000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.043,50.421,50.464,2
KNN_RES_PARALLEL,123,200000,400000,100,5,3,50,50,50,FALSE,FALSE,TRUE,1.058,121.18,122.238,1
KNN_RES_RCOMPSs,123,200000,400000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.086,132.25,132.336,1
KNN_RES_RCOMPSs,123,200000,400000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.059,118.727,118.786,2
KNN_RES_PARALLEL,123,250000,500000,100,5,3,50,50,50,FALSE,FALSE,TRUE,1.368,251.354,252.722,1
KNN_RES_RCOMPSs,123,250000,500000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.087,263.024,263.111,1
KNN_RES_RCOMPSs,123,250000,500000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.053,245.278,245.331,2
KNN_RES_PARALLEL,123,300000,600000,100,5,3,50,50,50,FALSE,FALSE,TRUE,1.572,438.536,440.108,1
KNN_RES_RCOMPSs,123,300000,600000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.091,445.035,445.126,1
KNN_RES_RCOMPSs,123,300000,600000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.04,420.947,420.987,2
KNN_RES_PARALLEL,123,350000,700000,100,5,3,50,50,50,FALSE,FALSE,TRUE,1.567,677.54,679.107,1
KNN_RES_RCOMPSs,123,350000,700000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.093,680.751,680.844,1
KNN_RES_RCOMPSs,123,350000,700000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.044,643.663,643.708,2
KNN_RES_PARALLEL,123,400000,800000,100,5,3,50,50,50,FALSE,FALSE,TRUE,2.011,951.993,954.005,1
KNN_RES_RCOMPSs,123,400000,800000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.09,954.545,954.635,1
KNN_RES_RCOMPSs,123,400000,800000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.045,910.34,910.385,2
KNN_RES_PARALLEL,123,450000,900000,100,5,3,50,50,50,FALSE,FALSE,TRUE,2.516,1254.768,1257.285,1
KNN_RES_PARALLEL,123,500000,1000000,100,5,3,50,50,50,FALSE,FALSE,TRUE,2.129,1653.719,1655.848,1
KNN_RES_RCOMPSs,123,500000,1000000,100,5,3,50,50,50,FALSE,FALSE,TRUE,0.087,1633.815,1633.902,1
